Plant;Material ID;Groeﬂenklasse;ABCXYZ;Calc_ABCXYZ
0377;SRG025402130029;00;N/A;CCZ
0677;KRN457050016MOE;;N/A;CCZ
0582;XHDM0009318;;N/A;CCZ
2760;EN088900200;;CZ;CBZ
0412;SP265012010B;39;N/A;CCZ
0305;HW057615010050G;06;N/A;CCZ
0480;SS2350060ABPK;79;AY;ABY
0305;HC0547450250125;04;N/A;CCZ
0490;SS235005020B;79;CZ;CCZ
0701;FB0122120005B;00;CZ;CCZ
0830;QC08G07610483G;;CZ;CCZ
3100;HW057610010063G;59;AY;AAZ
0377;HW0039070070080;08;N/A;CCZ
0490;SCUT1015012BPK;95;N/A;CCZ
0853;X840BBG2733350;;BZ;CCZ
3100;AE057011010;07;CZ;CCZ
0853;S430100300B04;;AY;BBY
2316;TESATH0151;;N/A;CCZ
2316;EN03340033804A6;;N/A;CCZ
3100;GR00350320WGSE1;;BZ;AAZ
2316;SRG025440640040;00;N/A;CCZ
0490;ST0500250150GVH;;N/A;CCZ
0376;HC0547090090080;10;N/A;CCZ
0641;HC0149120050050;07;N/A;CCZ
3110;RB430130000;;AZ;AAZ
0305;ELRMIB02015903F;;N/A;CCZ
2316;HC0547090090080;07;CZ;CCZ
0490;HC0547160090088;12;N/A;CCZ
0840;KRN508060016MOE;;N/A;CCZ
0830;ACCSS07576;;CY;ACY
0490;HC0149250150080;04;N/A;CCZ
0377;HW0576200100063;12;N/A;CCZ
0490;REPPH0320252G;;CZ;CCZ
0581;XHDM0009014;;N/A;CCZ
0830;FB0122010008B;00;CZ;CCZ
0163;TD5754D050B;;CZ;CCZ
0631;KRN139704016MOD;;N/A;CCZ
0853;XBAE606003503M;;BY;CCZ
2641;KRN2191063DQ01;;N/A;CCZ
2316;FSOS23506100101;;N/A;CCZ
0400;RP1229BR;06;DZ;CCZ
0305;HW0039110060036;04;N/A;CCZ
2641;KRN559060013CRE;;N/A;CCZ
0641;HC0547140080080;07;N/A;CCZ
2316;FB2842070040001;;N/A;CCZ
0305;HC00390350353GV;13;N/A;CCZ
0305;HC0039100030030;13;N/A;CCZ
0480;PRG03080200150C;;CZ;BAZ
0641;HW0576100060050;13;N/A;CCZ
2316;RB454142500;;N/A;CCZ
0835;KRN152405013CRE;;N/A;CCZ
3110;RB119105500001;;CZ;CCZ
0490;SS46M0100CB;39;CZ;CCZ
0631;KRN127036016MOE;;N/A;CCZ
0162;SB614N0120D;;CZ;CCZ
0830;FB0553035008;;CZ;CCZ
2316;KRN063505613CRE;;N/A;CCZ
2316;SRG025413300056;12;N/A;CCZ
0305;HW0576200100100;04;N/A;CCZ
0860;SS35M0050CB;12;AY;AAY
0490;SS2350100BBPK;00;BY;BBY
0305;HW0576100100050;10;N/A;CCZ
0490;SS46M0150CBPK;79;CZ;CCZ
0305;HC003908004020V;15;N/A;CCZ
0701;RB040103500;;N/A;CCZ
0376;HW0039070070050;59;N/A;CCZ
2316;GST0570063;08;N/A;CCZ
0701;BLFPPH032G03;;N/A;CCZ
0305;SH100100080460;15;N/A;CCZ
2316;RB658029000002;;N/A;CCZ
0490;HC0149060040020;12;N/A;CCZ
0163;HB614N0400D;;N/A;CCZ
2316;HC0149020020030;09;N/A;CCZ
2316;RB722756000001;;N/A;CCZ
0490;SS35M012015B;30;CZ;CCZ
0441;FZBPB250887600R;60;CZ;CCZ
2316;RB591825000001;;N/A;CCZ
2760;SB4571015;;CZ;CCZ
0490;RB050117000;;N/A;CCZ
0490;SS355035010Q;20;CZ;CCZ
3100;SS2350120B;90;CZ;CCZ
0376;HW0039120080100;10;N/A;CCZ
3100;SS2351400Q;19;N/A;CCZ
